"National
Dex","Pokemon
Name",Classification,HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,"Evolution
Method"
875,Eiscue (Ice Face),,75,80,110,65,90,50,470,Ice,,Ice Face,,,
875.1,Eiscue (No Ice Face),,75,80,70,65,50,130,470,Ice,,Ice Face,,,
876,Indeedee (Male),,60,65,55,105,95,95,475,Psychic,Normal,Inner Focus,Synchronize,Psychic Surge,
876.1,Indeedee (Female),,70,55,65,95,105,85,475,Psychic,Normal,Own Tempo,Synchronize,Psychic Surge,
877,Morpeko (Full Belly),,58,95,58,70,58,97,436,Electric,Dark,Hunger Switch,,,
877.1,Morpeko (Hangry),,58,95,58,70,58,97,436,Electric,Dark,Hunger Switch,,,
878,Cufant,,72,80,49,40,49,40,330,Steel,,Sheer Force,,Heavy Metal,Lv. 34
879,Copperajah,,122,130,69,80,69,30,500,Steel,,Sheer Force,,Heavy Metal,
880,Dracozolt,Fossil,90,100,90,80,70,75,505,Electric,Dragon,Volt Absorb,Hustle,Sand Rush,
881,Arctozolt,Fossil,90,100,90,90,80,55,505,Electric,Ice,Volt Absorb,Static,Slush Rush,
882,Dracovish,Fossil,90,90,100,70,80,75,505,Water,Dragon,Water Absorb,Strong Jaw ,Sand Rush,
883,Arctovish,Fossil,90,90,100,80,90,55,505,Water,Ice,Water Absorb,Ice Body,Slush Rush,
884,Duraludon,,70,95,115,120,50,85,535,Steel,Dragon,Light Metal,Heavy Metal,Stalwart,
885,Dreepy,Pseudo Legendary,28,60,30,40,30,82,270,Dragon,Ghost,Clear Body,Infiltrator,Cursed Body,Lv. 50
886,Drakloak,Pseudo Legendary,68,80,50,60,50,102,410,Dragon,Ghost,Clear Body,Infiltrator,Cursed Body,Lv. 60
887,Dragapult,Pseudo Legendary,88,120,75,100,75,142,600,Dragon,Ghost,Clear Body,Infiltrator,Cursed Body,
888,Zacian (Hero),Legendary,92,120,115,80,115,138,660,Fairy,,Intrepid Sword,,,
888.1,Zacian (Crowned),Legendary,92,150,115,80,115,148,700,Fairy,Steel,Intrepid Sword,,,
889,Zamazenta (Hero),Legendary,92,120,115,80,115,138,660,Fighting,,Dauntless Shield,,,
889.1,Zamazenta (Crowned),Legendary,92,120,140,80,140,128,700,Fighting,Steel,Dauntless Shield,,,
890,Eternatus,Legendary,140,85,95,145,95,130,690,Poison,Dragon,Pressure,,,
891,Kubfu,Sub-Legendary,60,90,60,53,50,72,385,Fighting,,Inner Focus,,,Scroll of Darkness/Scroll of Water
892,Urshifu (Single Strike),Sub-Legendary,100,130,100,63,60,97,550,Fighting,Dark,Unseen Fist,,,
892.1,Urshifu (Rapid Strike),Sub-Legendary,100,130,100,63,60,97,550,Fighting,Water,Unseen Fist,,,
893,Zarude,Mythical,105,120,105,70,95,105,600,Dark,Grass,Leaf Guard ,,,
894,Regieleki,Sub-Legendary,80,100,50,100,50,200,580,Electric,,Transistor,,,
895,Regidrago,Sub-Legendary,200,100,50,100,50,80,580,Dragon,,Dragon's Maw,,,
896,Glastrier,Sub-Legendary,100,145,130,65,110,30,580,Ice,,Chilling Neigh,,,
897,Spectrier,Sub-Legendary,100,65,60,145,80,130,580,Ghost,,Grim Neigh,,,
898,Calyrex,Legendary,100,80,80,80,80,80,500,Psychic,Grass,Unnerve,,,
898.1,Calyrex (Ice Rider),Legendary,100,165,150,85,130,50,680,Psychic,Ice,As One,,,
898.2,Calyrex (Shadow Rider),Legendary,100,85,80,165,100,150,680,Psychic,Ghost,As One,,,
899,Wyrdeer,,103,105,72,105,75,65,525,Normal,Psychic,Intimidate,Frisk,Sap Sipper,
900,Kleavor,,70,130,95,45,75,85,500,Bug,Rock,Swarm,Sheer Force,Sharpness,
901,Ursaluna,,130,140,105,45,80,50,550,Ground,Normal,Guts,Bulletproof,Unnerve,
902,Basculegion (Male),,120,112,65,80,75,78,530,Water,Ghost,Swift Swim,Adaptability,Mold Breaker,
902.1,Basculegion (Female),,120,92,65,100,75,78,530,Water,Ghost,Swift Swim,Adaptability,Mold Breaker,
903,Sneasler,,80,130,60,40,80,120,510,Fighting,Poison,Pressure,Unburden,Poison Touch,
904,Overqwil,,85,115,95,65,65,85,510,Dark,Poison,Poison Point,Swift Swim,Intimidate,
905,Enamorus (Incarnate),Sub-Legendary,74,115,70,135,80,106,580,Fairy,Flying,Healer,,Contrary,
905.1,Enamorus (Therian),Sub-Legendary,74,115,110,135,100,46,580,Fairy,Flying,Overcoat,,,
906,Sprigatito,Starter,40,61,54,45,45,65,310,Grass,,Overgrow,,Protean,Lv. 16
907,Floragato,Starter,61,80,63,60,63,83,410,Grass,,Overgrow,,Protean,Lv. 36
908,Meowscarada,Starter,76,110,70,81,70,123,530,Grass,Dark,Overgrow,,Protean,
909,Fuecoco,Starter,67,45,59,63,40,36,310,Fire,,Blaze,,Unaware,Lv. 16
910,Crocalor,Starter,81,55,78,90,58,49,411,Fire,,Blaze,,Unaware,Lv. 36
911,Skeledirge,Starter,104,75,100,110,75,66,530,Fire,Ghost,Blaze,,Unaware,
912,Quaxly,Starter,55,65,45,50,45,50,310,Water,,Torrent,,Moxie,Lv. 16
913,Quaxwell,Starter,70,85,65,65,60,65,410,Water,,Torrent,,Moxie,Lv. 36
914,Quaquaval,Starter,85,120,80,85,75,85,530,Water,Fighting,Torrent,,Moxie,
915,Lechonk,,54,45,40,35,45,35,254,Normal,,Aroma Veil,Gluttony,Thick Fat,Lv. 18
916,Oinkologne (Male),,110,100,75,59,80,65,489,Normal,,Lingering Aroma,Gluttony,Thick Fat,
916.1,Oinkologne (Female),,115,90,70,59,90,65,489,Normal,,Aroma Veil,Gluttony,Thick Fat,
917,Tarountula,,35,41,45,29,40,20,210,Bug,,Insomnia,,Stakeout,Lv. 15
918,Spidops,,60,79,92,52,86,35,404,Bug,,Insomnia,,Stakeout,
919,Nymble,,33,46,40,21,25,45,210,Bug,,Swarm,,Tinted Lens,Lv. 24
920,Lokix,,71,102,78,52,55,92,450,Bug,Dark,Swarm,,Tinted Lens,
921,Pawmi,,45,50,20,40,25,60,240,Electric,,Static,Natural Cure,Iron Fist,Lv. 18
922,Pawmo,,60,75,40,50,40,85,350,Electric,Fighting,Volt Absorb,Natural Cure,Iron Fist,Level Up Outside Pokeball (After 1000 Let's Go Steps)
923,Pawmot,,70,115,70,70,60,105,490,Electric,Fighting,Volt Absorb,Natural Cure,Iron Fist,
924,Tandemaus,,50,50,45,40,45,75,305,Normal,,Run Away,Pickup,Own Tempo,Lv. 25
925,Maushold (Family of 4),,74,75,70,65,75,111,470,Normal,,Friend Guard,Cheek Pouch,Technician,
925.1,Maushold (Family of 3),,74,75,70,65,75,111,470,Normal,,Friend Guard,Cheek Pouch,Technician,
926,Fidough,,37,55,70,30,55,65,312,Fairy,,Own Tempo,,Klutz,Lv. 26
927,Dachsbun,,57,80,115,50,80,95,477,Fairy,,Well- Baked Body,,Aroma Veil,
928,Smoliv,,41,35,45,58,51,30,260,Grass,Normal,Early Bird,,Harvest,Lv. 25
929,Dolliv,,52,53,60,78,78,33,354,Grass,Normal,Early Bird,,Harvest,Lv. 35
930,Arboliva,,78,69,90,125,109,39,510,Grass,Normal,Seed Sower,,Harvest,
931,Squawkabilly (Green),,82,96,51,45,51,92,417,Normal,Flying,Intimidate,Hustle,Guts,
931.1,Squawkabilly (Blue),,82,96,51,45,51,92,417,Normal,Flying,Intimidate,Hustle,Guts,
931.2,Squawkabilly (Yellow),,82,96,51,45,51,92,417,Normal,Flying,Intimidate,Hustle,Sheer Force,
931.3,Squawkabilly (White),,82,96,51,45,51,92,417,Normal,Flying,Intimidate,Hustle,Sheer Force,
932,Nacli,,55,55,75,35,35,25,280,Rock,,Purifying Salt,Sturdy,Clear Body,Lv. 24
933,Naclstack,,60,60,100,35,65,35,355,Rock,,Purifying Salt,Sturdy,Clear Body,Lv. 38
934,Garganacl,,100,100,130,45,90,35,500,Rock,,Purifying Salt,Sturdy,Clear Body,
935,Charcadet,,40,50,40,50,40,35,255,Fire,,Flash Fire,,Flame Body,Auspicious Armor/Malicious Armor
936,Armarouge,,85,60,100,125,80,75,525,Fire,Psychic,Flash Fire,,Weak Armor,
937,Ceruledge,,75,125,80,60,100,85,525,Fire,Ghost,Flash Fire,,Weak Armor,
938,Tadbulb,,61,31,41,59,35,45,272,Electric,,Own Tempo,Static,Damp,Thunder Stone
939,Bellibolt,,109,64,91,103,83,45,495,Electric,,Electromorphosis,Static,Damp,
940,Wattrel,,40,40,35,55,40,70,280,Electric,Flying,Wind Power,Volt Absorb,Competitive,Lv. 25
941,Kilowattrel,,70,70,60,105,60,125,490,Electric,Flying,Wind Power,Volt Absorb,Competitive,
942,Maschiff,,60,78,60,40,51,51,340,Dark,,Intimidate,Run Away,Stakeout,Lv. 30
943,Mabosstiff,,80,120,90,60,70,85,505,Dark,,Intimidate,Guard Dog,Stakeout,
944,Shroodle,,40,65,35,40,35,75,290,Poison,Normal,Unburden,Pickpocket,Prankster,Lv. 35
945,Grafaiai,,63,95,65,80,72,110,485,Poison,Normal,Unburden,Poison Touch,Prankster,
946,Bramblin,,40,65,30,45,35,60,275,Grass,Ghost,Wind Rider,,Infiltrator,Level Up Outside Pokeball (After 1000 Let's Go Steps)
947,Brambleghast,,55,115,70,80,70,90,480,Grass,Ghost,Wind Rider,,Infiltrator,
948,Toedscool,,40,40,35,50,100,70,335,Ground,Grass,Mycelium Might,,,Lv. 30
949,Toedscruel,,80,70,65,80,120,100,515,Ground,Grass,Mycelium Might,,,
950,Klawf,,70,100,115,35,55,75,450,Rock,,Anger Shell,Shell Armor,Regenerator,
951,Capsakid,,50,62,40,62,40,50,304,Grass,,Chlorophyll,Insomnia,Klutz,Fire Stone
952,Scovillain,,65,108,65,108,65,75,486,Grass,Fire,Chlorophyll,Insomnia,Moody,
953,Rellor,,41,50,60,31,58,30,270,Bug,,Compoundeyes,,Shed Skin,Level Up Outside Pokeball (After 1000 Let's Go Steps)
954,Rabsca,,75,50,85,115,100,45,470,Bug,Psychic,Synchronize,,Telepathy,
955,Flittle,,30,35,30,55,30,75,255,Psychic,,Anticipation,Frisk,Speed Boost,Lv. 35
956,Espathra,,95,60,60,101,60,105,481,Psychic,,Opportunist,Frisk,Speed Boost,
957,Tinkatink,,50,45,45,35,64,58,297,Fairy,Steel,Mold Breaker,Own Tempo,Pickpocket,Lv. 24
958,Tinkatuff,,65,55,55,45,82,78,380,Fairy,Steel,Mold Breaker,Own Tempo,Pickpocket,Lv. 38
959,Tinkaton,,85,75,77,70,105,94,506,Fairy,Steel,Mold Breaker,Own Tempo,Pickpocket,
960,Wiglett,,10,55,25,35,25,95,245,Water,,Gooey,Rattled,Sand Veil,Lv. 26
961,Wugtrio,,35,100,50,50,70,120,425,Water,,Gooey,Rattled,Sand Veil,
962,Bombirdier,,70,103,85,60,85,82,485,Flying,Dark,Big Pecks,Keen Eye,Rocky Payload,
963,Finizen,,70,45,40,45,40,75,315,Water,,Water Veil,,,Lv. 38 (Union Circle)
964,Palafin (Zero),,100,70,72,53,62,100,457,Water,,Zero to Hero,,,
964.1,Palafin (Hero),,100,160,97,106,87,100,650,Water,,Zero to Hero,,,
965,Varoom,,45,70,63,30,45,47,300,Steel,Poison,Overcoat,,Slow Start,Lv. 40
966,Revavroom,,80,119,90,54,67,90,500,Steel,Poison,Overcoat,,Filter,
967,Cyclizar,,70,95,65,85,65,121,501,Dragon,Normal,Shed Skin,,Regenerator,
968,Orthworm,,70,85,145,60,55,65,480,Steel,,Earth Eater,,Sand Veil,
969,Glimmet,,48,35,42,105,60,60,350,Rock,Poison,Toxic Debris,,Corrosion,Lv. 35
970,Glimmora,,83,55,90,130,81,86,525,Rock,Poison,Toxic Debris,,Corrosion,
971,Greavard,,50,61,60,30,55,34,290,Ghost,,Pickup,,Fluffy,Lv. 30 (Night)
972,Houndstone,,72,101,100,50,97,68,488,Ghost,,Sand Rush,,Fluffy,
973,Flamigo,,82,115,74,75,64,90,500,Flying,Fighting,Scrappy,Tangled Feet,Costar,
974,Cetoddle,,108,68,45,30,40,43,334,Ice,,Thick Fat,Snow Cloak,Sheer Force,Ice Stone
975,Cetitan,,170,113,65,45,55,73,521,Ice,,Thick Fat,Slush Rush,Sheer Force,
976,Veluza,,90,102,73,78,65,70,478,Water,Psychic,Mold Breaker,,Sharpness,
977,Dondozo,,150,100,115,65,65,35,530,Water,,Unaware,Oblivious,Water Veil,
978,Tatsugiri (Curly),,68,50,60,120,95,82,475,Dragon,Water,Commander,,Storm Drain,
978.1,Tatsugiri (Droopy),,68,50,60,120,95,82,475,Dragon,Water,Commander,,Storm Drain,
978.2,Tatsugiri (Stretchy),,68,50,60,120,95,82,475,Dragon,Water,Commander,,Storm Drain,
979,Annihilape,,110,115,80,50,90,90,535,Fighting,Ghost,Vital Spirit,Inner Focus,Defiant,
980,Clodsire,,130,75,60,45,100,20,430,Poison,Ground,Poison Point,Water Absorb,Unaware,
981,Farigiraf,,120,90,70,110,70,60,520,Normal,Psychic,Cud Chew,Armor Tail,Sap Sipper,
982,Dudunsparce (Two-Segment),,125,100,80,85,75,55,520,Normal,,Serene Grace,Run Away,Rattled,
982.1,Dudunsparce (Three Segment),,125,100,80,85,75,55,520,Normal,,Serene Grace,Run Away,Rattled,
983,Kingambit,,100,135,120,60,85,50,550,Dark,Steel,Defiant,Supreme Overlord,Pressure,
984,Great Tusk,Paradox Pokemon,115,131,131,53,53,87,570,Ground,Fighting,Protosynthesis,,,
985,Scream Tail,Paradox Pokemon,115,65,99,65,115,111,570,Fairy,Psychic,Protosynthesis,,,
986,Brute Bonnet,Paradox Pokemon,111,127,99,79,99,55,570,Grass,Dark,Protosynthesis,,,
987,Flutter Mane,Paradox Pokemon,55,55,55,135,135,135,570,Ghost,Fairy,Protosynthesis,,,
988,Slither Wing,Paradox Pokemon,85,135,79,85,105,81,570,Bug,Fighting,Protosynthesis,,,
989,Sandy Shocks,Paradox Pokemon,85,81,97,121,85,101,570,Electric,Ground,Protosynthesis,,,
990,Iron Treads,Paradox Pokemon,90,112,120,72,70,106,570,Ground,Steel,Quark Drive,,,
991,Iron Bundle,Paradox Pokemon,56,80,114,124,60,136,570,Ice,Water,Quark Drive,,,
992,Iron Hands,Paradox Pokemon,154,140,108,50,68,50,570,Fighting,Electric,Quark Drive,,,
993,Iron Jugulis,Paradox Pokemon,94,80,86,122,80,108,570,Dark,Flying,Quark Drive,,,
994,Iron Moth,Paradox Pokemon,80,70,60,140,110,110,570,Fire,Poison,Quark Drive,,,
995,Iron Thorns,Paradox Pokemon,100,134,110,70,84,72,570,Rock,Electric,Quark Drive,,,
996,Frigibax,Pseudo Legendary,65,75,45,35,45,55,320,Dragon,Ice,Thermal Exchange,,Ice Body,
997,Arctibax,Pseudo Legendary,90,95,66,45,65,62,423,Dragon,Ice,Thermal Exchange,,Ice Body,
998,Baxcalibur,Pseudo Legendary,115,145,92,75,86,87,600,Dragon,Ice,Thermal Exchange,,Ice Body,
999,Gimmighoul (Chest),,45,30,70,75,70,10,300,Ghost,,Rattled,,,Level Up (999 Gimmighoul Coins in Bag)
999.1,Gimmighoul (Roaming),,45,30,25,75,45,80,300,Ghost,,Run Away,,,
1000,Gholdengo,,87,60,95,133,91,84,550,Steel,Ghost,Good as Gold,,,
1001,Wo-Chien,Sub-Legendary,85,85,100,95,135,70,570,Dark,Grass,Tablets of Ruin,,,
1002,Chien-Pao,Sub-Legendary,80,120,80,90,65,135,570,Dark,Ice,Sword of Ruin,,,
1003,Ting-Lu,Sub-Legendary,155,110,125,55,80,45,570,Dark,Ground,Vessel of Ruin,,,
1004,Chi-Yu,Sub-Legendary,55,80,80,135,120,100,570,Dark,Fire,Beads of Ruin,,,
1005,Roaring Moon,Paradox Pokemon,105,139,71,55,101,119,590,Dragon,Dark,Protosynthesis,,,
1006,Iron Valiant,Paradox Pokemon,74,130,90,120,60,116,590,Fairy,Fighting,Quark Drive,,,
1007,Koraidon,Legendary,100,135,115,85,100,135,670,Fighting,Dragon,Orichalcum Pulse,,,
1008,Miraidon,Legendary,100,85,100,135,115,135,670,Electric,Dragon,Hadron Engine,,,
